report_start,report_end,exchange,bps_bucket,obligation_usd,imc_liquidity_usd,market_liquidity_usd,kpi_ratio_imc_over_obligation,kpi_percent_of_obligation,kpi_outperform,capture_pct_imc_over_market,capture_percent,uptime_pct,avg_bid_ask_spread_usd,avg_bid_ask_spread_bps,market_share_pct,source_file
1/7/2025,1/8/2025,OKX,15,28100,30800,150000,1.096085409,109.6085409,TRUE,0.20533333333333334,20.533333333333335,99.87,0.001228,4.8,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,OKX,25,70300,78800,282100,1.120910384,112.0910384,TRUE,0.2793335696561503,27.93335696561503,99.87,0.001228,4.8,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,OKX,50,105400,119000,464600,1.129032258,112.9032258,TRUE,0.2561343090830822,25.61343090830822,99.87,0.001228,4.8,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,OKX,100,140500,160500,616100,1.142348754,114.2348754,TRUE,0.2605096575231294,26.050965752312937,99.87,0.001228,4.8,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,OKX,200,281000,320900,819500,1.141992883,114.1992883,TRUE,0.39158023184868823,39.158023184868824,99.87,0.001228,4.8,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/8/2025,1/9/2025,Binance,15,42400,50300,344500,1.186320755,118.6320755,TRUE,0.14600870827285922,14.600870827285922,99.95,0.001,3.9,,Frijt Trading - NEAR Report 2025-08-01 - 2025-09-01.pdf
1/8/2025,1/9/2025,Binance,25,105900,121400,531800,1.146364495,114.6364495,TRUE,0.22828130876269273,22.828130876269274,99.95,0.001,3.9,,Frijt Trading - NEAR Report 2025-08-01 - 2025-09-01.pdf
1/8/2025,1/9/2025,Binance,50,141200,162300,818000,1.149433428,114.9433428,TRUE,0.19841075794621027,19.841075794621027,99.95,0.001,3.9,,Frijt Trading - NEAR Report 2025-08-01 - 2025-09-01.pdf
1/8/2025,1/9/2025,Binance,100,211800,243500,1010400,1.1496695,114.96695,TRUE,0.24099366587490104,24.099366587490103,99.95,0.001,3.9,,Frijt Trading - NEAR Report 2025-08-01 - 2025-09-01.pdf
1/8/2025,1/9/2025,Binance,200,352900,403100,1170000,1.142249929,114.2249929,TRUE,0.34452991452991455,34.452991452991455,99.95,0.001,3.9,,Frijt Trading - NEAR Report 2025-08-01 - 2025-09-01.pdf
